Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE1778	"ENCODE: GWLA of TAF1, RNA PolII binding in four cell lines"	"Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	24		"TIFF;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1778/suppl"	15899964;17571346		"Chunxu Qu"	"Sep 21, 2004"
GSE997	"Essential Thrombocythemia megakaryocytes versus normal megakaryocytes"	"Expression profiling by array"	"Homo sapiens"	2	GDS761			15271793		"Elena Tenedini"	"Sep 17, 2004"
GSE1746	"CD14+ cell analysis"	"Expression profiling by array"	"Homo sapiens"	10	GDS781	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1746/suppl"			"Lynn Graf"	"Sep 15, 2004"
GSE1740	"Tassiulas IFN Array v1.0"	"Expression profiling by array"	"Homo sapiens"	12	GDS776			15467722		"Ioannis Tassiulas"	"Sep 09, 2004"
GSE1725	"Toxicity from radiation therapy associated with abnormal transcriptional responses to DNA damage"	"Expression profiling by array"	"Homo sapiens"	171	GDS968			15096622		"Wan-Jen Hong"	"Sep 06, 2004"
GSE1726	"Rosetta_Merck_CEPH_Study"	"Expression profiling by array"	"Homo sapiens"	167	GDS1048			15514893		"Stephanie A Santorico"	"Sep 04, 2004"
GSE1635	"MicroRNA expression patterns in mouse tissues and staged embryos"	"Non-coding RNA profiling by array"	"Homo sapiens;Mus musculus"	35				15782152		"Scott M Hammond"	"Sep 02, 2004"
GSE1719	"Macular Degeneration"	"Expression profiling by array"	"Homo sapiens"	36	GDS963	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1719/suppl"	16109308		"Eric Hoffman"	"Sep 02, 2004"
GSE1132	"IFN-Gamma keratinocytes"	"Expression profiling by array"	"Homo sapiens"	34				15145801		"Anton Petrov"	"Sep 01, 2004"
GSE1323	"Isogenic primary tumor/metastasis comparison"	"Expression profiling by array"	"Homo sapiens"	6	GDS756	"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1323/suppl"	16531451		"Alessandro Provenzani"	"Sep 01, 2004"
GSE1577	"T-ALL and T-lymphoblastic lymphoma"	"Expression profiling by array"	"Homo sapiens"	29		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1577/suppl"	16358311		"Dong-Joon Min"	"Sep 01, 2004"
GSE1704	"Epithelial cells in contact with bacterial supernatant"	"Expression profiling by array"	"Homo sapiens"	5				15598879		"Chimene Moreilhon"	"Aug 26, 2004"
GSE1703	"Determination of mRNA transcripts in HeLa cells that are regulated by RENT1"	"Expression profiling by array"	"Homo sapiens"	4	GDS705	"CEL;EXP;RPT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1703/suppl"	15448691		"Joshua T Mendell"	"Aug 25, 2004"
GSE1644	"Leukotriene D4-triggered Transcriptome"	"Expression profiling by array"	"Homo sapiens"	4	GDS731			15322539		"Andreas Johann Richard Habenicht"	"Aug 20, 2004"
GSE1441	"Host Cell Gene Expression During HIV-1 Latency and Reactivation"	"Expression profiling by array"	"Homo sapiens"	35				15308739		"Vyjayanthi Krishnan"	"Aug 16, 2004"
GSE1443	"Host Cell Gene Expression During HIV-1 Latency in Chronically Infected Cell Lines"	"Expression profiling by array"	"Homo sapiens"	19				15308739		"Vyjayanthi Krishnan"	"Aug 16, 2004"
GSE1428	"Skeletal muscle sarcopenia"	"Expression profiling by array"	"Homo sapiens"	22		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1428/suppl"	15687482		"Susan Kandarian"	"Aug 15, 2004"
GSE1645	"TAcKLE - Transcriptome Amplification and cDNA Labeling for Expression analysis"	"Expression profiling by array"	"Homo sapiens"	20		"TIFF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1645/suppl"	15718295		"Joerg Schlingemann"	"Aug 13, 2004"
GSE1485	"Natural variation in human gene expression"	"Expression profiling by array"	"Homo sapiens"	355		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1485/suppl"	15269782		"Michael Patrick Morley"	"Aug 12, 2004"
GSE1402	"Juvenile Rheumatoid Arthritis Profiles In PBMC and SFMC"	"Expression profiling by array"	"Homo sapiens"	57	GDS711	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1402/suppl"	15150433		"Michael Barnes"	"Aug 11, 2004"
GSE1473	"Beta-catenin/GFP"	"Expression profiling by array"	"Homo sapiens"	8	GDS748			15592430		"Agnes Viale"	"Aug 11, 2004"
GSE1650	"COPD Study"	"Expression profiling by array"	"Homo sapiens"	30	GDS737	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1650/suppl"	15374838		"Avrum Spira"	"Aug 08, 2004"
GSE1648	"Osmotic Loading of Human Intervertebral Disc Cells"	"Expression profiling by array"	"Homo sapiens"	11	GDS738	"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1648/suppl"	16133915		"Lawrence Martin Boyd"	"Aug 07, 2004"
GSE635	"Identification of novel genomic determinants of cellular drug resistance in acute lymphoblastic leukemia."	"Expression profiling by array"	"Homo sapiens"	173		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE635/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE643	"ASP sensitive all ALL"	"Expression profiling by array"	"Homo sapiens"	81		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE643/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE645	"ASP resistant all ALL"	"Expression profiling by array"	"Homo sapiens"	45		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE645/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE646	"PRED sensitive all ALL"	"Expression profiling by array"	"Homo sapiens"	66		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE646/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE647	"PRED resistant all ALL"	"Expression profiling by array"	"Homo sapiens"	27		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE647/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE648	"VCR sensitive all ALL"	"Expression profiling by array"	"Homo sapiens"	89		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE648/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE649	"VCR resistant all ALL"	"Expression profiling by array"	"Homo sapiens"	36		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE649/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE650	"DNR sensitive all ALL"	"Expression profiling by array"	"Homo sapiens"	94		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE650/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE651	"DNR resistant all ALL"	"Expression profiling by array"	"Homo sapiens"	28		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE651/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE653	"ASP sensitive B-ALL"	"Expression profiling by array"	"Homo sapiens"	66		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE653/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE654	"ASP resistant B-ALL"	"Expression profiling by array"	"Homo sapiens"	40		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE654/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE655	"PRED sensitive B-ALL"	"Expression profiling by array"	"Homo sapiens"	54		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE655/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE656	"PRED resistant B-ALL"	"Expression profiling by array"	"Homo sapiens"	20		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE656/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE657	"VCR sensitive B-ALL"	"Expression profiling by array"	"Homo sapiens"	75		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE657/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE658	"VCR resistant B-ALL"	"Expression profiling by array"	"Homo sapiens"	29		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE658/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE659	"DNR sensitive B-ALL"	"Expression profiling by array"	"Homo sapiens"	82		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE659/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE660	"DNR resistant B-ALL"	"Expression profiling by array"	"Homo sapiens"	23		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE660/suppl"	15295046		"William E Evans"	"Aug 06, 2004"
GSE1638	"Gene expression profiles of in vitro fertilized bovine embryos in comparison to those of bovine adult tissues"	"Expression profiling by array"	"Bos taurus;Homo sapiens"	10						"Wenli Zhou"	"Aug 05, 2004"
GSE1511	"Gene expression profile of CD56dimCD16+, CD56brightCD16- and activated CD56+CD16+ human NK subsets"	"Expression profiling by array"	"Homo sapiens"	6	GDS751			15557145		"Ofer Mandelboim"	"Aug 02, 2004"
GSE1626	"Testing for gene expression differences between chromosomally stable and unstable isogenic clones"	"Expression profiling by array"	"Cricetulus griseus;Homo sapiens"	4	GDS740					"Andrew Snyder"	"Aug 01, 2004"
GSE805	"Expression analysis of monocytes in response to interleukins-4 and -13"	"Expression profiling by array"	"Homo sapiens"	3						"Hartmut Kuhn"	"Jul 31, 2004"
GSE1573	"MicroRNA profiles of RISC sub-complexes"	"Non-coding RNA profiling by array"	"Homo sapiens"	16						"Scott M Hammond"	"Jul 30, 2004"
GSE1614	"Caco-2 differentiation"	"Expression profiling by array"	"Homo sapiens"	12	GDS709	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1614/suppl"	12644633		"James C Fleet"	"Jul 29, 2004"
GSE1572	"Gene regulation and DNA damage in the aging human brain"	"Expression profiling by array"	"Homo sapiens"	30	GDS707			15190254		"Tao Lu"	"Jul 21, 2004"
GSE973	"IL-1 stimulation of HUVEC"	"Expression profiling by array"	"Homo sapiens"	5	GDS649	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE973/suppl"	15130917		"Herbert Mayer"	"Jul 20, 2004"
GSE1297	"Incipient Alzheimer's Disease: Microarray Correlation Analyses"	"Expression profiling by array"	"Homo sapiens"	31	GDS810	"CEL;EXP;RPT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1297/suppl"	14769913		"Eric M Blalock"	"Jul 16, 2004"
GSE1563	"Kidney Transplant Rejection and Tissue Injury by Gene Profiling of Biopsies and Peripheral Blood Lymphocytes"	"Expression profiling by array"	"Homo sapiens"	62	GDS724	"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1563/suppl"	15307835		"Steven Head"	"Jul 14, 2004"
GSE1518	"Human endothelium exposed to shear stress and pressure"	"Expression profiling by array"	"Homo sapiens"	8	GDS1317	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1518/suppl"	16155357		"Per-Arne Svensson"	"Jul 07, 2004"
GSE1510	"Human UniGene Set RZPD 1 - Zipf's Normalization"	"Expression profiling by array"	"Homo sapiens"	5						"Timothy TeHua Lu"	"Jul 03, 2004"
GSE1502	"MADSCAN evaluation using heart disease patients"	"Expression profiling by array"	"Homo sapiens"	8		"TIFF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1502/suppl"			"Nolwenn Le Meur"	"Jul 02, 2004"
GSE1460	"Gene Expression Profile during human CD4+ T cell differentiation"	"Expression profiling by array"	"Homo sapiens"	30	GDS785;GDS786	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1460/suppl"	15210650		"Myeong S Lee"	"Jul 01, 2004"
GSE1487	"DU 145 EMETINE TIME COURSE"	"Expression profiling by array"	"Homo sapiens"	8				15300251		"Jeff Kiefer"	"Jun 24, 2004"
GSE1488	"LNCaP EMETINE TIME COURSE"	"Expression profiling by array"	"Homo sapiens"	7				15300251		"Jeff Kiefer"	"Jun 24, 2004"
GSE1489	"PC3 EMETINE TIME COURSE"	"Expression profiling by array"	"Homo sapiens"	7				15300251		"Jeff Kiefer"	"Jun 24, 2004"
GSE1490	"GM00156 EMETINE TIME COURSE"	"Expression profiling by array"	"Homo sapiens"	6				15300251		"Jeff Kiefer"	"Jun 24, 2004"
GSE1484	"PDGF stimulation kinetics"	"Expression profiling by array"	"Homo sapiens"	18	GDS1768			15213220		"Jean-Baptiste Demoulin"	"Jun 23, 2004"
GSE1486	"Steroids Effect on HUVEC Response to LPS or Cytokines"	"Expression profiling by array"	"Homo sapiens"	36						"Phillip Bowman"	"Jun 19, 2004"
GSE1366	"Total-body irradiation dose response"	"Expression profiling by array"	"Homo sapiens"	4				15374940		"Sally Amundson"	"Jun 17, 2004"
GSE1474	"Caco-2 and T84 cells stimulated with with flagellin, lymphotox beta or TNF alpha"	"Expression profiling by array"	"Homo sapiens"	24	GDS690			16012957		"Pascale Anderle"	"Jun 16, 2004"
GSE1470	"Epithelial stem cells co-cultured with the dermal papilla"	"Expression profiling by array"	"Homo sapiens"	3	GDS687			15292489		"Stephen R. Lyle"	"Jun 10, 2004"
GSE1309	"Gene expession profiles for monoclonal cell lines with high or low levels of store-operated Ca2+ entry."	"Expression profiling by array"	"Homo sapiens"	22	GDS686			15623568		"Tatiana Zagranichnaya"	"Jun 08, 2004"
GSE1378	"breast cancer / tamoxifen monotherapy (microdissected tumor biopsies)"	"Expression profiling by array"	"Homo sapiens"	60	GDS807			15193263;18498629		"Xiao-Jun Ma"	"Jun 07, 2004"
GSE1379	"breast cancer / tamoxifen monotherapy (whole tissue tumor biopsies)"	"Expression profiling by array"	"Homo sapiens"	60	GDS806			15193263		"Xiao-Jun Ma"	"Jun 07, 2004"
GSE797	"X-radiation (XR) resistant HCT116-Clone2: XR at 0 and 4 Gy"	"Expression profiling by array"	"Homo sapiens"	16						"Felix M. Mesak"	"Jun 04, 2004"
GSE798	"Unirradiated HCT116-Clone2 cells"	"Expression profiling by array"	"Homo sapiens"	4						"Felix M. Mesak"	"Jun 04, 2004"
GSE799	"HCT116-Clone2 cells 10 min after XR treatment at 4 Gy"	"Expression profiling by array"	"Homo sapiens"	4						"Felix M. Mesak"	"Jun 04, 2004"
GSE800	"HCT116-Clone2 cells 6 hours after XR treatment at 4 Gy"	"Expression profiling by array"	"Homo sapiens"	4						"Felix M. Mesak"	"Jun 04, 2004"
GSE801	"HCT116-Clone2 cells 24 hours after XR treatment at 4 Gy"	"Expression profiling by array"	"Homo sapiens"	4						"Felix M. Mesak"	"Jun 04, 2004"
GSE1444	"Cellular interaction with S. aureus bacteria or with bacterial supernatant"	"Expression profiling by array"	"Homo sapiens"	12						"Chimene Moreilhon"	"Jun 03, 2004"
GSE1440	"TIAR represses c-Myc biosynthesis following ultraviolet light irradiation-2"	"Expression profiling by array"	"Homo sapiens"	140						"Myriam Gorospe"	"Jun 02, 2004"
GSE762	"CCFAlmasan_CaP1"	"Expression profiling by array"	"Homo sapiens"	25	GDS719;GDS720;GDS721;GDS722;GDS723					"John Gilmary Hissong"	"Jun 01, 2004"
GSE770	"CCF_Almasan_CaPK"	"Expression profiling by array"	"Homo sapiens"	10	GDS725					"John Gilmary Hissong"	"Jun 01, 2004"
GSE782	"CCF_Almasan_CaPGSE56"	"Expression profiling by array"	"Homo sapiens"	3						"John Gilmary Hissong"	"Jun 01, 2004"
GSE1122	"Emphysema Lung Tissue Gene Expression Profiling"	"Expression profiling by array"	"Homo sapiens"	15	GDS670	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1122/suppl"	15284076		"Christopher D Coldren"	"Jun 01, 2004"
GSE1144	"aging of cultured human myotubes"	"Expression profiling by array"	"Homo sapiens"	7	GDS647			17052863		"Matthew Alan Roberts"	"May 31, 2004"
GSE1433	"TIAR represses c-Myc biosynthesis following ultraviolet light irradiation"	"Expression profiling by array"	"Homo sapiens"	12				16537914		"Myriam Gorospe"	"May 27, 2004"
GSE1431	"Human prostate cancer tissues analyses"	"Expression profiling by array"	"Homo sapiens"	88		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1431/suppl"	14722351		"Xiao-Qin Xia"	"May 26, 2004"
GSE841	"Mutation of GATA3 in Human Breast Tumors"	"Expression profiling by array"	"Homo sapiens"	6	GDS892;GDS893			15361840		"Charles M. Perou"	"May 24, 2004"
GSE1418	"Imatinib effects on CD34+ cells"	"Expression profiling by array"	"Homo sapiens"	14	GDS838	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1418/suppl"	15618956		"Benedikt Brors"	"May 24, 2004"
GSE1407	"HIV-based vector infected cells"	"Expression profiling by array"	"Homo sapiens"	7	GDS708	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1407/suppl"	15314653		"Richard Steven Mitchell"	"May 19, 2004"
GSE1410	"ASLV vector infected 293t-TVA cells"	"Expression profiling by array"	"Homo sapiens"	2		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1410/suppl"			"Richard Steven Mitchell"	"May 19, 2004"
GSE1406	"vGPCR and lytic KSHV time course in TIME cells"	"Expression profiling by array"	"Homo sapiens"	14				15289507		"Don Ganem"	"May 18, 2004"
GSE1417	"Untreated vs. Camptothecin Treated HeLa cells"	"Expression profiling by array"	"Homo sapiens"	7	GDS885	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1417/suppl"	15026349		"Garrett M Frampton"	"May 18, 2004"
GSE1310	"Embryonic stem cell study"	"Expression profiling by array"	"Homo sapiens"	1				15146197		"Gregory Fisk"	"May 16, 2004"
GSE1368	"Genomic profile of transporters and ion channels"	"Expression profiling by array"	"Homo sapiens"	32	GDS1993			15760106		"Pascale Anderle"	"May 08, 2004"
GSE1377	"Kaposi's sarcoma-associated herpes virus"	"Expression profiling by array"	"Homo sapiens"	4	GDS940			15220917		"Jay Woo Shin"	"May 08, 2004"
GSE979	"The effect of Ras on the signalling networks in senescence"	"Expression profiling by array"	"Homo sapiens"	12						"Kristine Hardy"	"May 04, 2004"
GSE1361	"Concurrent Versus Individual Binding of HuR and AUF1 to Common Labile Target mRNAs"	"Expression profiling by array"	"Homo sapiens"	9				15257295		"Myriam Gorospe"	"May 04, 2004"
GSE848	"E2 and SERM Treatment of MCF-7 Breast Cancer Cells"	"Expression profiling by array"	"Homo sapiens"	30	GDS881			14973112		"Jonna Frasor"	"May 01, 2004"
GSE1264	"Sindbis survivors"	"Expression profiling by array"	"Homo sapiens"	9	GDS834					"Aaron M. Domina"	"May 01, 2004"
GSE1347	"Pre-analytical changes of mRNA Gene Expression as the result from prolonged storage"	"Expression profiling by array"	"Homo sapiens"	9	GDS969			15238145		"Matthias Nees"	"Apr 28, 2004"
GSE1343	"Burn/Trauma Study"	"Expression profiling by array"	"Homo sapiens"	16	GDS917			15548831		"Lyle Moldawer"	"Apr 24, 2004"
GSE1141	"Inflammatory bowel disease (HG-U133A)"	"Expression profiling by array"	"Homo sapiens"	6						"Thomas Langmann"	"Apr 20, 2004"
GSE1142	"Inflammatory bowel disease (HG-U133B)"	"Expression profiling by array"	"Homo sapiens"	6						"Thomas Langmann"	"Apr 20, 2004"
GSE1152	"Inflammatory bowel disease"	"Expression profiling by array"	"Homo sapiens"	12	GDS559;GDS560			17461471;17058067		"Thomas Langmann"	"Apr 20, 2004"
GSE763	"Cell-type specific responses to chemotherapeutics in breast cancer"	"Expression profiling by array"	"Homo sapiens"	75	GDS845;GDS846;GDS847;GDS848			15205334		"Charles M. Perou"	"Apr 18, 2004"
GSE1317	"Ultraviolet induced gene expression in human basal cell culture"	"Expression profiling by array"	"Homo sapiens"	3		"CEL;DAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1317/suppl"			"Jeff Shearstone"	"Apr 17, 2004"
GSE1318	"Myb specificity determinants"	"Expression profiling by array"	"Homo sapiens"	25		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1318/suppl"	15105423		"Scott A. Ness"	"Apr 16, 2004"
GSE425	"Acute myeloid leukemia study"	"Expression profiling by array"	"Homo sapiens"	119	GDS841;GDS843			15084693;16931630;19903898		"Jonathan Pollack"	"Apr 15, 2004"
GSE1159	"Expression profiles of acute myeloid leukemia patient samples"	"Expression profiling by array"	"Homo sapiens"	293		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1159/suppl"	17910043;15084694		"Roel Verhaak"	"Apr 15, 2004"
GSE1300	"Hereditary Spastic Paraparesis"	"Expression profiling by array"	"Homo sapiens"	7	GDS849	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1300/suppl"			"Eric Hoffman"	"Apr 14, 2004"
GSE1304	"Control and Il31 tx NHEK cells compared via SuperArray cDNA panel Chemokines and Receptors"	"Expression profiling by array"	"Homo sapiens"	2						"Cosette LeCiel"	"Apr 14, 2004"
