Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE1898	"Human Hepatocellular Carcinoma study"	"Expression profiling by array"	"Homo sapiens"	182				15565109;16532004		"Snorri S Thorgeirsson"	"Oct 28, 2004"
GSE1902	"Cancer Genome Anatomy Project (CGAP) Human LongSAGE"	"Expression profiling by SAGE"	"Homo sapiens"	88				11257097;12119410		"Cancer Genome Anatomy Project CGAP"	"Oct 28, 2004"
GSE1864	"A genomic view of estrogen actions in human breast cancer cells"	"Expression profiling by array"	"Homo sapiens"	25				15171711		"Angelo Facchiano"	"Oct 27, 2004"
GSE1880	"Role of LANA in KSHV latent infection"	"Expression profiling by array"	"Homo sapiens"	23	GDS988;GDS989	"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1880/suppl"	15525642;16641275		"Feng-Qi An"	"Oct 27, 2004"
GSE444	"Effect of Vitamin D on gene expression by CaCO2 cells"	"Expression profiling by array"	"Homo sapiens"	10	GDS1847			14996990		"Larry Allen Sonna"	"Oct 26, 2004"
GSE1869	"Ischemic and Nonischemic CM and NF Hearts"	"Expression profiling by array"	"Homo sapiens"	37	GDS1362	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1869/suppl"	15769906		"Michelle Kittleson"	"Oct 26, 2004"
GSE1841	"BAC CGH array profiling using Phi29-amplified microdissected samples"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	14				15514107		"Joana Cardoso"	"Oct 23, 2004"
GSE1853	"interaction with bacteria or bacterial supernatant"	"Expression profiling by array"	"Homo sapiens"	12				15598879		"Chimene Moreilhon"	"Oct 23, 2004"
GSE1865	"Transcriptome analysis of monocytic leukemia cell differentiation"	"Expression profiling by SAGE"	"Homo sapiens"	2				12213207		"David Piquemal"	"Oct 23, 2004"
GSE1866	"Human Reticulocyte"	"Expression profiling by SAGE"	"Homo sapiens"	1				15590392		"David Piquemal"	"Oct 23, 2004"
GSE1322	"laughter regulates postprandial blood glucose levels and gene expression"	"Expression profiling by array"	"Homo sapiens"	21				16361876		"Toshiro Saito"	"Oct 21, 2004"
GSE1848	"lung and tonsillar mast cells"	"Expression profiling by array"	"Homo sapiens"	6				15470070		"Yoshimichi Okayama"	"Oct 20, 2004"
GSE1845	"Melanoma cell lines"	"Expression profiling by array"	"Homo sapiens"	5	GDS1314			15967107		"Martin Bilban"	"Oct 19, 2004"
GSE1319	"Immunohistochemical and Clinical Characterization of the Basal-like Subtype"	"Expression profiling by array"	"Homo sapiens"	3				15328174		"Charles M. Perou"	"Oct 15, 2004"
GSE1764	"Effect of Oxandrolone on Muscle in Duchenne Muscular Dystrophy"	"Expression profiling by array"	"Homo sapiens"	12	GDS1333;GDS1334			16263771		"Robert C. Olney"	"Oct 15, 2004"
GSE1549	"Intestinal cells infected with Vibrio cholerae"	"Expression profiling by array"	"Homo sapiens"	24				15213169		"James Kaper"	"Oct 14, 2004"
GSE1801	"Human hematopoietic stem cell engraftment in goat"	"Expression profiling by array"	"Capra hircus;Homo sapiens"	23	GDS1023			16682618		"Don Baldwin"	"Oct 14, 2004"
GSE1832	"Time and Exercise effects on Human Skeletal Muscle"	"Expression profiling by array"	"Homo sapiens"	15	GDS894	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1832/suppl"	14519196		"Alexander C Zambon"	"Oct 14, 2004"
GSE1836	"Comparison of native versus cultured RPE cells"	"Expression profiling by array"	"Homo sapiens"	20				16234463		"James T Handa"	"Oct 13, 2004"
GSE1823	"IL-2 transfection of A673-cells"	"Expression profiling by array"	"Homo sapiens"	9	GDS918			15170886;15548687		"Martin Sebastian Staege"	"Oct 11, 2004"
GSE1824	"Neuroblastoma cell lines"	"Expression profiling by array"	"Homo sapiens"	4	GDS1548	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1824/suppl"	15548687;18435455		"Martin Sebastian Staege"	"Oct 11, 2004"
GSE1825	"SRBCT"	"Expression profiling by array"	"Homo sapiens"	10	GDS1713	"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1825/suppl"	15548687;19502792		"Martin Sebastian Staege"	"Oct 11, 2004"
GSE923	"Pseudomonas aeruginosa infection of Calu-3 human lung epithelial cells"	"Expression profiling by array"	"Homo sapiens"	19	GDS858			15494517		"Josyf Mychaleckyj"	"Oct 08, 2004"
GSE1822	"EWS-FLI1-transfection of HEK293"	"Expression profiling by array"	"Homo sapiens"	9	GDS916			15548687		"Christoph Hutter"	"Oct 07, 2004"
GSE1810	"CHIP Analysis - c-Jun/ATF2"	"Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	28				15546613		"Yipeng Wang"	"Oct 06, 2004"
GSE1541	"A549 parenchymal cell activation"	"Expression profiling by array"	"Homo sapiens"	20	GDS852	"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1541/suppl"	15454581		"Claudia Chimisso dos Santos"	"Oct 03, 2004"
GSE1551	"dermatomyositis"	"Expression profiling by array"	"Homo sapiens"	23				15852401		"Steven Alan Greenberg"	"Oct 01, 2004"
GSE1647	"Prediction of toxicant-specific gene expression signatures following chemotherapeutic treatment of breast cell lines"	"Expression profiling by array"	"Homo sapiens"	83	GDS1627			15598611		"Charles M. Perou"	"Sep 28, 2004"
GSE1743	"De novo kidney transplantation without use of calcineurin inhibitors preserves renal structure and function"	"Expression profiling by array"	"Homo sapiens"	41	GDS987			15476476		"Sunil Kurian"	"Sep 23, 2004"
