Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE19920	"Affymetrix SNP array analysis of the breast cell lines MCF10A, MCF10AT, MCF10CA1h and MCF10CA1a"	"Genome variation profiling by SNP array"	"Homo sapiens"	8		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19920/suppl"	20169162		"Robert J Clifford"	"Feb 15, 2010"
GSE14954	"A saturated fatty acid rich diet can induce an 'obese-like' gene expression profile in adipose tissue"	"Expression profiling by array"	"Homo sapiens"	40	GDS3678	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14954/suppl"	19828712		"Guido Hooiveld"	"Feb 14, 2010"
GSE19080	"Gene expression profiling in patients infected with HTLV-1: Identification of ATL and HAM/TSP-specific genetic profiles"	"Expression profiling by array"	"Homo sapiens"	38		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19080/suppl"			"Eduardo Hernandez"	"Feb 14, 2010"
GSE19987	"Germline Mutations in TMEM127 Confer Susceptibility to Pheochromocytoma"	"Expression profiling by array"	"Homo sapiens"	125		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19987/suppl"	20154675		"Patricia L. Dahia"	"Feb 14, 2010"
GSE12427	"Expression data from EBER1-overexpressing Hodgkin lymphoma cell lines KM-H2 and L428 "	"Expression profiling by array"	"Homo sapiens"	4		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12427/suppl"	20144199		"Chung-Wu Lin"	"Feb 13, 2010"
GSE14818	"Gene expression analysis of glioblastoma spheroid cultures I"	"Expression profiling by array"	"Homo sapiens"	12		"TIFF;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14818/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE14819	"Array CGH analysis of glioblastoma serum grown adherent cultures"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	23		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14819/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE14820	"Array CGH analysis of glioblastoma cell lines"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	8		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14820/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE14821	"Array CGH analysis of single spheroids from glioblastoma spheroid cultures"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	4		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14821/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE14822	"Array CGH analysis of glioblastoma spheroid cultures"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	20		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14822/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE14823	"Array CGH analysis of glioblastomas"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	7		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14823/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE14824	"Molecular analysis of glioblastoma stem cell-like spheroid cultures identifies novel tumor-relevant genes"	"Genome variation profiling by genome tiling array;Expression profiling by array"	"Homo sapiens"	87		"GPR;TIFF;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14824/suppl"			"Aurelie Ernst"	"Feb 13, 2010"
GSE16666	"Gene expression analysis of glioblastoma spheroid cultures II"	"Expression profiling by array"	"Homo sapiens"	13		"TIFF;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16666/suppl"	19846608		"Aurelie Ernst"	"Feb 13, 2010"
GSE16221	"UTX Chromatin Immunoprecipitation on human HG18 Nimblegen 2 array promoter set"	"Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	8				20123895		"Jordon K Wang"	"Feb 12, 2010"
GSE19114	"A transcriptional module initiates and maintains mesenchymal transformation in brain tumors [human data]"	"Expression profiling by array"	"Homo sapiens"	74		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19114/suppl"	20032975		"Mariano Javier Alvarez"	"Feb 12, 2010"
GSE20215	"intDCs versus LCs"	"Non-coding RNA profiling by array"	"Homo sapiens"	1		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20215/suppl"	20375304		"Jennifer Jurkin"	"Feb 12, 2010"
GSE20281	"The transcriptional network for mesenchymal transformation of brain tumours"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	108		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20281/suppl"	20032975		"Mariano Javier Alvarez"	"Feb 12, 2010"
GSE12520	"Genomic markers that predict survivorship in colorectal cancer"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	139		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12520/suppl"	19911421		"George Poulogiannis"	"Feb 11, 2010"
GSE14797	"Non-invasive detection of molecular biomarkers in subjects with a history of insulin resistance and colorectal adenomas"	"Expression profiling by array"	"Homo sapiens"	86		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14797/suppl"	19470793		"Jennifer Goldsby"	"Feb 11, 2010"
GSE14975	"Rac1-Induced Connective Tissue Growth Factor regulates Connexin 43 and N-Cadherin Expression in Atrial Fibrillation"	"Expression profiling by array"	"Homo sapiens"	10		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14975/suppl"	20117462		"Sabine Ameling"	"Feb 11, 2010"
GSE15008	"MicroRNA Expression Profile Reveals Important Clinical Tools for the Pathology of Lung Cancer"	"Non-coding RNA profiling by array"	"Homo sapiens;Mus musculus;Rattus norvegicus"	375		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15008/suppl"	21890451		"wu jp"	"Feb 11, 2010"
GSE18184	"Genome-wide localization of the RNA polymerase III transcription machinery in human cells"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	5		"BEDGRAPH"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18184/suppl"	20413673	SRP001892	"Viviane Praz"	"Feb 11, 2010"
GSE20119	"Interferon signaling related gene expression and clinical outcome of chronic hepatitis C"	"Expression profiling by array"	"Homo sapiens"	224		"CSV;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20119/suppl"	21603632		"Hiroyuki Oshima"	"Feb 11, 2010"
GSE20239	"Differential cytogenomics and miRNA signature of the Acute Myeloid Leukemia Kasumi-1 cell line CD34+38- compartment"	"Genome variation profiling by genome tiling array;Non-coding RNA profiling by genome tiling array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20239/suppl"	20227111		"Jeffrey Conroy"	"Feb 11, 2010"
GSE20243	"Identification of soluble factors overexpressed in brain endothelial cell (EC) lines compared to non-brain EC lines"	"Expression profiling by array"	"Homo sapiens"	42		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20243/suppl"	20305662		"Heather A Himburg"	"Feb 11, 2010"
GSE20247	"C-peptide and/or transforming growth factor beta 1 effect on human proximal tubular cell line"	"Expression profiling by array"	"Homo sapiens"	18	GDS3649	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20247/suppl"	20197308		"Nigel John Brunskill"	"Feb 11, 2010"
GSE20266	"Salivary Transcriptomic and Proteomic Biomarkers for Breast Cancer Detection"	"Expression profiling by array"	"Homo sapiens"	20		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20266/suppl"	21217834		"Lei Zhang"	"Feb 11, 2010"
GSE20272	"Expression data from human ovarian cancer cells induced by IL-6 and CNTO328"	"Expression profiling by array"	"Homo sapiens"	6		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20272/suppl"	20699329		"Zhenfeng Duan"	"Feb 11, 2010"
GSE14859	"ArrayCGH mapping of chromosome 3 aberrations in lung Squamous Cell Carcinoma (SCC)"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	26		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14859/suppl"	20126410		"Thomas Hussenet"	"Feb 10, 2010"
GSE14883	"SOX2 overexpression effect on human lung squamous cells"	"Expression profiling by array"	"Homo sapiens"	2		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14883/suppl"	20126410		"Thomas Hussenet"	"Feb 10, 2010"
GSE15079	"ArrayCGH mapping of the recurrent 3q26.3-q27 amplifications in lung Squamous Cell Carcinoma (SCC)"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	5		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15079/suppl"	20126410		"Thomas Hussenet"	"Feb 10, 2010"
GSE18880	"Expression and function of miRNAs in gastric carcinoma"	"Non-coding RNA profiling by array"	"Homo sapiens;Mus musculus;Rattus norvegicus"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18880/suppl"	19810207		"rie wada"	"Feb 10, 2010"
GSE19373	"Regulation of alternative splicing by histone modifications"	"Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19373/suppl"	20133523	SRP001893	"Qun Pan"	"Feb 10, 2010"
GSE20236	"Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains"	"Methylation profiling by array"	"Homo sapiens"	93		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20236/suppl"	20219945		"Tsun-Po Yang"	"Feb 10, 2010"
GSE20242	"Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains"	"Methylation profiling by array"	"Homo sapiens"	50		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20242/suppl"	20219945		"Thomas A Down"	"Feb 10, 2010"
GSE14754	"Mechanism of sensitivity and resistance to treatment with an TfR1 antibody fusion protein in B-cell malignancies"	"Expression profiling by array"	"Homo sapiens"	39		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14754/suppl"	21870996		"Manuel Penichet"	"Feb 09, 2010"
GSE14839	"Differences in gene expression in islets isolated from pancreata donated after Cardiac Death relative to Brain Death"	"Expression profiling by array"	"Homo sapiens"	19		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14839/suppl"			"Jamie M Sperger"	"Feb 09, 2010"
GSE15080	"SOX2 is a new oncogene activated by the recurrent 3q26.3 amplifications in lung Squamous Cell Carcinoma"	"Genome variation profiling by genome tiling array;Expression profiling by array"	"Homo sapiens"	33		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15080/suppl"	20126410		"Thomas Hussenet"	"Feb 09, 2010"
GSE18964	"SNP chip data of CML, resistant with tyrosine kinase inhibitor"	"Genome variation profiling by SNP array"	"Homo sapiens"	66		"CEL;CHP;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18964/suppl"	19965645		"Motohiro Kato"	"Feb 09, 2010"
GSE19069	"Molecular signatures in peripheral T-cell lymphoma (PTCL)"	"Expression profiling by array"	"Homo sapiens"	147		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19069/suppl"	19965671		"Javeed Iqbal"	"Feb 08, 2010"
GSE16716	"MicroArray Quality Control Phase II (MAQC-II) Project"	"Expression profiling by array"	"Homo sapiens;Mus musculus;Rattus norvegicus"	1343		"CEL;PDF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16716/suppl"	20064235;20676074		"Leming Shi"	"Feb 04, 2010"
GSE17448	"Methylation Pattern of Human Mesenchymal Stromal Cells "	"Methylation profiling by array"	"Homo sapiens"	16		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17448/suppl"	19895632;25241740		"Simone Bork"	"Feb 04, 2010"
GSE18105	"Stage II and stage III colorectal cancer"	"Expression profiling by array"	"Homo sapiens"	111		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18105/suppl"	20162577		"Kaoru Mogushi"	"Feb 04, 2010"
GSE18583	"Baseline skeletal muscle gene expression"	"Expression profiling by array"	"Homo sapiens"	41		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18583/suppl"	20133430;20930125		"JAMIE A TIMMONS"	"Feb 04, 2010"
GSE18838	"Gene Expression in the Blood of Parkinson's Disease Patients"	"Expression profiling by array"	"Homo sapiens"	28		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18838/suppl"	20161708		"Lina A Shehadeh"	"Feb 04, 2010"
GSE20141	"Expression analysis of laser-dissected SNpc neurons in Parkinson's disease"	"Expression profiling by array"	"Homo sapiens"	18		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20141/suppl"	20926834		"Frank A Middleton"	"Feb 04, 2010"
GSE20146	"Expression analysis of dissected GPi in Parkinson's disease"	"Expression profiling by array"	"Homo sapiens"	20		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20146/suppl"	20926834		"Frank A Middleton"	"Feb 04, 2010"
GSE20153	"Expression analysis of lymphoblast cells lines in Parkinson's disease"	"Expression profiling by array"	"Homo sapiens"	16		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20153/suppl"	20926834		"Frank A Middleton"	"Feb 04, 2010"
GSE20156	"RNA-Seq of melanoma short-term cultures and cell lines"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	14		"BAM"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20156/suppl"	20179022	SRP000931	"Michael Berger"	"Feb 04, 2010"
GSE20161	"Networks and miRNAs implicated in aggressive prostate cancer"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	215		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20161/suppl"	19996289		"LIANG WANG"	"Feb 04, 2010"
GSE20168	"Transcriptional analysis of prefrontal area 9 in Parkinson's disease"	"Expression profiling by array"	"Homo sapiens"	29		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20168/suppl"	15965975;20926834		"Frank A Middleton"	"Feb 04, 2010"
GSE20194	"MAQC-II Project: human breast cancer (BR) data set"	"Expression profiling by array"	"Homo sapiens"	278		"CEL;XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20194/suppl"	20064235;20676074		"Leming Shi"	"Feb 04, 2010"
GSE15207	"Genome wide mapping of the haematopoietic system transcriptome"	"Expression profiling by array"	"Homo sapiens"	7		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15207/suppl"	20126548		"tondeur sylvie"	"Feb 03, 2010"
GSE16969	"Gene expression analysis of TSC-tubers reveals increased expression of adhesion and inflammatory factors"	"Expression profiling by array"	"Homo sapiens"	10		"CEL;CHP;EXP;JPG"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16969/suppl"	19912235		"Floyd Wittink"	"Feb 02, 2010"
GSE20075	"Molecular signatures of mucosal immunity that distinguish HIV controllers from non-controllers"	"Expression profiling by array"	"Homo sapiens"	20		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20075/suppl"	20160163		"Sajeev Batra"	"Feb 02, 2010"
GSE20122	"Vitamin D and microRNA Expression"	"Non-coding RNA profiling by array"	"Homo sapiens;Human alphaherpesvirus 1;Human betaherpesvirus 5;Human gammaherpesvirus 4;Human gammaherpesvirus 8;Human immunodeficiency virus 1;Human polyomavirus 1;JC polyomavirus;Macaca mulatta polyomavirus 1;Murid betaherpesvirus 1;Murid gammaherpesvirus 4;Mus musculus;Rattus norvegicus"	54		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20122/suppl"			"Adam Handel"	"Feb 02, 2010"
GSE14827	"Gene expression profiles from osteosarcpma samples"	"Expression profiling by array"	"Homo sapiens"	27		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14827/suppl"	20159990;24448647		"Eisuke Kobayashi"	"Feb 01, 2010"
GSE14987	"Expression data from ERBB2 over-expression and EGF stimulation in MCF10A cells"	"Expression profiling by array"	"Homo sapiens"	9		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14987/suppl"	20133671		"Ben S. Wittner"	"Feb 01, 2010"
GSE14988	"Expression data from DHT stimulation vs. control in LNCaP cells"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14988/suppl"	20133671		"Ben S. Wittner"	"Feb 01, 2010"
GSE14990	"MYC regulation of a ""poor prognosis"" metastatic cancer cell state"	"Expression profiling by array"	"Homo sapiens"	15		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14990/suppl"	20133671		"Ben S. Wittner"	"Feb 01, 2010"
GSE16337	"Foreskin Melanocyte: control vs. treated with pIC/pIC+PEI"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16337/suppl"			"Maria S Soengas"	"Feb 01, 2010"
GSE16573	"FoxO3 modulates endothelial gene expression and function by direct and indirect mechanisms "	"Expression profiling by array"	"Homo sapiens"	18		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16573/suppl"	20123982		"Tobias Czymai"	"Feb 01, 2010"
GSE16727	"Human keratinocytes exposed to tungsten carbide and tungsten carbide cobalt nanoparticles and cobalt chloride"	"Expression profiling by array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16727/suppl"	20105288		"Wibke Busch"	"Feb 01, 2010"
GSE17349	"Expression data for melanoma short-term cultures and cell lines"	"Expression profiling by array"	"Homo sapiens"	9		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17349/suppl"	20179022		"Michael Berger"	"Feb 01, 2010"
GSE17359	"Affymetrix SNP array data for melanoma short-term cultures and cell lines"	"Genome variation profiling by SNP array"	"Homo sapiens"	18		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17359/suppl"	20179022		"Michael Berger"	"Feb 01, 2010"
GSE17400	"Dynamic Innate Immune Responses of Human Bronchial Epithelial Cells against SARS-CoV and DOHV infection"	"Expression profiling by array"	"Homo sapiens"	27		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17400/suppl"	20090954		"Tomoki Yoshikawa"	"Feb 01, 2010"
GSE17440	"Gene Expression in Frontal Cortex in Major Depression and HIV"	"Expression profiling by array"	"Homo sapiens"	8		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17440/suppl"	20436668		"Erick T Tatro"	"Feb 01, 2010"
GSE17486	"MicroRNAs in the HIV and Major Depressive Brain"	"Expression profiling by RT-PCR;Non-coding RNA profiling by array;Other"	"Homo sapiens"	3		"SDS;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17486/suppl"	20436668		"Erick T Tatro"	"Feb 01, 2010"
GSE17491	"Evidence for Alteration of Gene Regulatory Networks through MicroRNAs of the HIV-Infected Brain"	"Expression profiling by array;Expression profiling by RT-PCR;Non-coding RNA profiling by array;Other"	"Homo sapiens"	11		"CEL;SDS;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17491/suppl"	20436668		"Erick T Tatro"	"Feb 01, 2010"
GSE17593	"Melanoma short-term cultures and cell lines: expression profiling and CNV analyses"	"Expression profiling by array;Genome variation profiling by SNP array;Expression profiling by high throughput sequencing"	"Homo sapiens"	41		"BAM;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17593/suppl"	20179022		"Michael Berger"	"Feb 01, 2010"
GSE18058	"Wilms Tumor cells with WT1 mutations have characteristic features of mesenchymal stem cells"	"Expression profiling by array"	"Homo sapiens"	29		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18058/suppl"	20106868		"Brigitte Royer-Pokora"	"Feb 01, 2010"
GSE18542	"Highly efficient genomic enrichment of human exonic sequences through short-fragment libraries"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	4		"BED;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18542/suppl"	20164091	SRP001835	"Michal Mokry"	"Feb 01, 2010"
GSE19013	"ChIP-Seq analysis of ER binding sites in MCF7 breast cancer cells"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19013/suppl"	20056654	SRP001836	"Jindan Yu"	"Feb 01, 2010"
GSE19566	"Genomic profiling of gastric carcinoma in situ by array-based comparative genomic hybridization"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19566/suppl"	20217874		"Yoshiyuki Tsukamoto"	"Feb 01, 2010"
GSE19574	"Genomic profiling of gastric adenomas by array-based comparative genomic hybridization"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19574/suppl"	20217874		"Yoshiyuki Tsukamoto"	"Feb 01, 2010"
GSE19575	"Genomic profiling of gastric carcinoma in situ and gastric adenomas by array-based comparative genomic hybridization"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19575/suppl"	20217874		"Yoshiyuki Tsukamoto"	"Feb 01, 2010"
GSE20014	"Minicircle-derived iPS cells - Agilent Data"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20014/suppl"	20139967		"Kitchener D. Wilson"	"Feb 01, 2010"
GSE20033	"Minicircle-derived iPS cells - Affymetrix Data"	"Expression profiling by array;Third-party reanalysis"	"Homo sapiens"	19		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20033/suppl"	20139967		"Kitchener D. Wilson"	"Feb 01, 2010"
GSE20081	"Expression Profiling Reveals Unexpected Targets and Functions of the Human Steroid Receptor RNA Activator (SRA) Gene"	"Expression profiling by array"	"Homo sapiens"	18		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20081/suppl"	20219889		"Charles E Foulds"	"Feb 01, 2010"
