Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE20364	"Breast cancer endothelial interaction"	"Expression profiling by array"	"Homo sapiens"	46				19794958		"Stanford Microarray Database (SMD)"	"Feb 18, 2010"
GSE12611	"Analyses of the SAGE expression of Human Embryonic Stem Cells"	"Expression profiling by SAGE"	"Homo sapiens"	2						"Zhenyang Lai"	"Feb 17, 2010"
GSE14895	"The trait of MS: Altered transcription regulation of nuclear receptors networks operate in the pre-disease state"	"Expression profiling by array"	"Homo sapiens"	64		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14895/suppl"	20079437		"Michael Gurevich"	"Feb 17, 2010"
GSE16449	"Molecular Stratification of Clear Cell Renal Cell Carcinoma Reveals Distinct Subtypes and Survival Patterns"	"Expression profiling by array"	"Homo sapiens"	70		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16449/suppl"			"Kimryn Rathmell"	"Feb 17, 2010"
GSE20293	"miR-30e* induced gene expression alteration in glioma cells"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20293/suppl"	22156201		"Mengfeng Li"	"Feb 17, 2010"
GSE20342	"Estrogen regulation and physiopathologic significance of alternative promoters in breast cancer"	"Expression profiling by array"	"Homo sapiens"	32		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20342/suppl"	20406972		"Martin Dutertre"	"Feb 17, 2010"
GSE9348	"Expression data from healthy controls and early stage CRC patient's tumor"	"Expression profiling by array"	"Homo sapiens"	82		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9348/suppl"	20143136		"Yi Hong"	"Feb 15, 2010"
GSE11127	"HSD17B10, RPL8, IFITM2 and IFITM3 as predictive markers of response to chemotherapy in conventional osteosarcomas."	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11127/suppl"	19449377		"Wilfried Gouraud"	"Feb 15, 2010"
GSE11866	"Bortezomib inhibits mTOR pathway in multiple myeloma cells via induced expression of REDD1."	"Expression profiling by array"	"Homo sapiens"	108		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11866/suppl"	20100206		"Wilfried Gouraud"	"Feb 15, 2010"
GSE16643	"Effect of glucocorticoid chemical structure and receptor potency on human trabecular meshwork cells"	"Expression profiling by array"	"Homo sapiens"	23		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16643/suppl"	19744340		"Alissar Nehme"	"Feb 15, 2010"
GSE17820	"HuR differentially regulates unique subsets of mRNAs in estrogen receptor negative and positive breast cancer"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17820/suppl"	20370918		"J Wade Davis"	"Feb 15, 2010"
GSE17913	"Effects of Cigarette Smoke on the Human Oral Mucosal Transcriptome"	"Expression profiling by array"	"Homo sapiens"	79	GDS3709	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17913/suppl"	20179299		"Zeynep H. Gumus"	"Feb 15, 2010"
GSE18545	"A MicroRNA Expression Signature For Cervical Cancer Prognosis"	"Expression profiling by array"	"Homo sapiens"	5		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18545/suppl"	20124485		"Xiaowei Wang"	"Feb 15, 2010"
